 X;T(a3, Fo13);T(a3, Fo23);T(a3, Fo33)
       0.010000000;       0.933909104;       0.327710076;       0.110662740
       0.020000000;       0.933670039;       0.327588792;       0.110621782
       0.030000000;       0.933271411;       0.327386685;       0.110553530
       0.040000000;       0.932712942;       0.327103805;       0.110458001
       0.050000000;       0.931994241;       0.326740221;       0.110335218
       0.060000000;       0.931114811;       0.326296024;       0.110185212
       0.070000000;       0.930074044;       0.325771323;       0.110008019
       0.080000000;       0.928871229;       0.325166247;       0.109803684
       0.090000000;       0.927505549;       0.324480946;       0.109572256
       0.100000000;       0.925976085;       0.323715588;       0.109313794
       0.110000000;       0.924281820;       0.322870363;       0.109028360
       0.120000000;       0.922421641;       0.321945478;       0.108716025
       0.130000000;       0.920394343;       0.320941162;       0.108376866
       0.140000000;       0.918198630;       0.319857663;       0.108010967
       0.150000000;       0.915833123;       0.318695248;       0.107618419
       0.160000000;       0.913296359;       0.317454203;       0.107199317
       0.170000000;       0.910586802;       0.316134834;       0.106753765
       0.180000000;       0.907702841;       0.314737468;       0.106281874
       0.190000000;       0.904642800;       0.313262448;       0.105783760
       0.200000000;       0.901404761;       0.311710138;       0.105259545
       0.210000000;       0.897987466;       0.310080921;       0.104709359
       0.220000000;       0.894388533;       0.308375200;       0.104133338
       0.230000000;       0.890606250;       0.306593394;       0.103531624
       0.240000000;       0.886638688;       0.304735944;       0.102904365
       0.250000000;       0.882483886;       0.302803306;       0.102251716
       0.260000000;       0.878139857;       0.300795959;       0.101573838
       0.270000000;       0.873604594;       0.298714397;       0.100870899
       0.280000000;       0.868876078;       0.296559133;       0.100143071
       0.290000000;       0.863952287;       0.294330699;       0.099390535
       0.300000000;       0.858831196;       0.292029645;       0.098613476
       0.310000000;       0.853510795;       0.289656538;       0.097812085
       0.320000000;       0.847989085;       0.287211964;       0.096986562
       0.330000000;       0.842264096;       0.284696525;       0.096137108
       0.340000000;       0.836333885;       0.282110842;       0.095263934
       0.350000000;       0.830196551;       0.279455553;       0.094367255
       0.360000000;       0.823850239;       0.276731313;       0.093447293
       0.370000000;       0.817293149;       0.273938793;       0.092504274
       0.380000000;       0.810523542;       0.271078683;       0.091538432
       0.390000000;       0.803539751;       0.268151688;       0.090550003
       0.400000000;       0.796340186;       0.265158529;       0.089539233
       0.410000000;       0.788923342;       0.262099946;       0.088506371
       0.420000000;       0.781287807;       0.258976693;       0.087451672
       0.430000000;       0.773432269;       0.255789540;       0.086375395
       0.440000000;       0.765355527;       0.252539273;       0.085277806
       0.450000000;       0.757056492;       0.249226695;       0.084159177
       0.460000000;       0.748534200;       0.245852622;       0.083019782
       0.470000000;       0.739787816;       0.242417886;       0.081859904
       0.480000000;       0.730816641;       0.238923336;       0.080679828
       0.490000000;       0.721620122;       0.235369832;       0.079479846
       0.500000000;       0.712197853;       0.231758252;       0.078260254
       0.510000000;       0.702549587;       0.228089487;       0.077021352
       0.520000000;       0.692675238;       0.224364442;       0.075763447
       0.530000000;       0.682574890;       0.220584035;       0.074486848
       0.540000000;       0.672248798;       0.216749199;       0.073191871
       0.550000000;       0.661697401;       0.212860881;       0.071878835
       0.560000000;       0.650921319;       0.208920039;       0.070548064
       0.570000000;       0.639921363;       0.204927646;       0.069199886
       0.580000000;       0.628698536;       0.200884687;       0.067834635
       0.590000000;       0.617254040;       0.196792159;       0.066452646
       0.600000000;       0.605589567;       0.192651072;       0.065054262
       0.610000000;       0.593705857;       0.188462448;       0.063639826
       0.620000000;       0.581605593;       0.184227320;       0.062209688
       0.630000000;       0.569290511;       0.179946732;       0.060764201
       0.640000000;       0.556762849;       0.175621742;       0.059303722
       0.650000000;       0.544025059;       0.171253416;       0.057828610
       0.660000000;       0.531079808;       0.166842832;       0.056339230
       0.670000000;       0.517929980;       0.162391078;       0.054835950
       0.680000000;       0.504578676;       0.157899253;       0.053319139
       0.690000000;       0.491029213;       0.153368464;       0.051789173
       0.700000000;       0.477285123;       0.148799830;       0.050246429
       0.710000000;       0.463350158;       0.144194479;       0.048691287
       0.720000000;       0.449228279;       0.139553545;       0.047124132
       0.730000000;       0.434923663;       0.134878176;       0.045545349
       0.740000000;       0.420440695;       0.130169523;       0.043955329
       0.750000000;       0.405783969;       0.125428749;       0.042354464
       0.760000000;       0.390958283;       0.120657024;       0.040743148
       0.770000000;       0.375968635;       0.115855525;       0.039121780
       0.780000000;       0.360820220;       0.111025437;       0.037490759
       0.790000000;       0.345518425;       0.106167952;       0.035850488
       0.800000000;       0.330068826;       0.101284268;       0.034201372
       0.810000000;       0.314477179;       0.096375590;       0.032543816
       0.820000000;       0.298749417;       0.091443130;       0.030878231
       0.830000000;       0.282891645;       0.086488105;       0.029205028
       0.840000000;       0.266910128;       0.081511738;       0.027524619
       0.850000000;       0.250811293;       0.076515256;       0.025837418
       0.860000000;       0.234601711;       0.071499892;       0.024143842
       0.870000000;       0.218288099;       0.066466885;       0.022444310
       0.880000000;       0.201877308;       0.061417476;       0.020739239
       0.890000000;       0.185376312;       0.056352910;       0.019029052
       0.900000000;       0.168792205;       0.051274439;       0.017314169
       0.910000000;       0.152132189;       0.046183314;       0.015595014
       0.920000000;       0.135403566;       0.041080793;       0.013872012
       0.930000000;       0.118613727;       0.035968134;       0.012145587
       0.940000000;       0.101770145;       0.030846599;       0.010416165
       0.950000000;       0.084880364;       0.025717453;       0.008684173
       0.960000000;       0.067951989;       0.020581960;       0.006950039
       0.970000000;       0.050992676;       0.015441388;       0.005214190
       0.980000000;       0.034010123;       0.010297005;       0.003477054
       0.990000000;       0.017012058;       0.005150082;       0.001739060
       1.000000000;       0.000006231;       0.000001887;       0.000000637
